Nome,Patente,Origem,Orgão,Cargo,Cargo Geral
Marcos Perdigão Bernardes,Capitão,Marinha,Caixa Econômica Federal,Assessor,Assessor
Mozart de Oliveira Farias,Brigadeiro,Aeronáutica,Caixa Econômica Federal,Assessor da presidência,Assessor
Almir Alves Junior,Capitão,Marinha,Caixa Econômica Federal,Assessor,Assessor
Juarez Aparecido de Paula Cunha,General,Exército,Correios,Presidente,Presidencia
André Luis Vieira,Coronel,Exército,Correios,Assessor especial,Assessor
Antônio Leite dos Santos Filho,General,Exército,DNIT,Diretor geral,Diretor Geral
André Kuhn,Coronel,Exército,DNIT,Diretor executivo,Diretor Geral
Oswaldo Ferreira,General,Exército,Empresa Brasileira de Serviços Hospitalares,Presidente,Presidencia
Franklimberg Ribeiro de Freitas,General,Exército,Funai,Presidente,Presidencia
Eduardo Villas Bôas,General,Exército,Gabinete de Segurança Institucional,A definir,A Definir
Joaquim Silva e Luna,General,Exército,Itaipu,Diretor-geral,Diretor Geral
Ricardo Wagner Roquetti,Coronel,Aeronáutica,Ministerio da Educação,Diretor de programa da secretaria-executiva,Diretor Geral
Robson Santos da Silva,Coronel,Exército,Ministerio da Educação,Assessor especial do ministro,Assessor
Carlos Alberto Flora Baptistucci,Coronel,Exército,Ministerio da Ciência  Tecnologia  Inovações e Comunicações,Secretário-executivo adjunto,Secretario
Celestino Todesco,Brigadeiro,Aeronáutica,Ministerio da Ciência  Tecnologia  Inovações e Comunicações,Chefe de gabinete do ministro,Chefe de Gabinete
Antonio Franciscangelis Neto,Tenente,Aeronáutica,Ministerio da Ciência  Tecnologia  Inovações e Comunicações,Secretário de Políticas Digitais,Secretario
Elifas Chaves Gurgel do Amaral,Coronel,Exército,Ministerio da Ciência  Tecnologia  Inovações e Comunicações,Secretário de Radiodifusão,Secretario
Gerson Nogueira Machado de Oliveira,Tenente,Aeronáutica,Ministerio da Ciência  Tecnologia  Inovações e Comunicações,Assessor especial do ministro,Assessor
Rogério Troidl Bonato,Coronel,Aeronáutica,Ministerio da Ciência  Tecnologia  Inovações e Comunicações,Diretor do Departamento de Serviços de Telecomunicações,Diretor Geral
Edson Diehl Ripoli,General,Exército,Ministerio da Defesa,Chefe de gabinete do ministro,Chefe de Gabinete
Nader Motta,General,Exército,Ministerio do Meio Ambiente,Secretaria de Orçamento  Finanças e Gestão,Secretario
Jamil Megid Júnior,General,Exército,Ministerio Infraestrutura,Secretário Nacional de Transporte Terrestre e Aquaviário,Secretario
Guilherme Theophilo Oliveira,General,Exército,Ministerio Justiça e Segurança Pública,Secretário nacional de Segurança Pública,Secretario
Alexandre Oliveira Fernandes,Suboficial,Aeronáutica,Ministerio Justiça e Segurança Pública,Assessor técnico do gabinete do ministro,Assessor
Freibergue Rubem do Nascimento,Coronel,Exército,Ministerio Justiça e Segurança Pública,Coordenador-geral de Estratégia da Senasp,Coordenador Geral
José Arnon dos Santos Guerra,Coronel,Exército,Ministerio Justiça e Segurança Pública,Coordenador-geral de Políticas da Senasp,Coordenador Geral
Marcelo Lopes de Azevedo,Coronel,Exército,Ministerio Justiça e Segurança Pública,Coordenador-geral de Licitações da Senasp,Coordenador Geral
Carlos Victor Guerra Naguem,Capitão,Aeronáutica,Petrobras,Gerente executivo de Inteligência e Segurança Corporativa,Gerente
Eduardo Bacellar Leal Ferreira,Almirante,Marinha,Petrobras,Presidente do Conselho de Administração,Presidencia
Otávio Santana do Rego Barro,General,Exército,Presidência,Porta-voz da Presidência,Porta Voz
Floriano Peixoto Vieira,General,Exército,Secretaria Geral,Secretário-executivo,Secretario
Maynard Marques de Santa Rosa,General,Exército,Secretaria Geral,Secretário especial de assuntos estratégicos,Secretario
Lauro Luís Pires da Silva,General,Exército,Secretaria Geral,Secretário especial de assuntos estratégicos adjunto,Secretario
Walter Félix Cardoso,Coronel,Exército,Secretaria Geral,Assessor especial,Assessor
Gilberto Barbosa Moreira,Coronel,Exército,Secretaria Geral,Secretário de administração,Secretario
Alfredo Menezes,Coronel,Exército,Suframa,Superintendente,Superintendente
José Orlando Ribeiro Cardoso,General,Exército,Telebrás,Diretor administrativo-financeiro,Diretor Geral
Hamilton Mourão,General,Exército,Presidência,Vice Presidente,Vice Presidente
Augusto Heleno,General,Exército,Ministerio Gabinete de Segurança Institucional,Ministro,Ministro
Marcos Pontes,Tenente,Aeronáutica,Ministerio da Ciência  Tecnologia  Inovações e Comunicações,Ministro de Ciência e Tecnologia,Ministro
Fernando Azevedo e Silva,General,Exército,Ministério da Defesa,Ministro da Defesa,Ministro
Carlos Alberto dos Santos Cruz,General,Exército,Secretaria de Governo,Ministo Secretaria do Governo,Ministro
Bento Costa Lima Leite de Albuquerque Junior,Almirante,Marinha,Ministério de Minas e Energia,Ministro de Minas e Energia,Ministro
Ilques Barbosa Junior,Almirante,Marinha,Ministério da Defesa,Comandante da Marinha,Comandante
Raul Botelho,Tenente,Aeronáutica,Ministério da Defesa,Chefe do Estado Maior Conjunto das Forças Armadas,Chefe de Estado
Antonio Carlos Moretti Bermudez,Tenente,Aeronáutica,Ministério da Defesa,Comandante da Aeronáutica,Comandante
Edson Leal Pujol,General,Exército,Ministério da Defesa,Comandante do Exército,Comandante
Tarcísio de Freitas,Capitão,Exército,Ministro da Infraestrutura,Ministro de Infraestrutura,Ministro
